PC1,PC2,label
-23.304237,2.4971821,0
-25.25773,21.167723,0
-33.895344,-15.291146,0
-5.6724353,21.253883,0
-16.42072,-20.147205,1
-36.983078,0.54844505,0
-25.307066,-9.832143,0
-27.036222,9.715985,0
-7.3530617,8.434245,0
31.34469,-7.2211175,1
-19.655575,21.759783,0
-22.473028,10.344091,0
12.937095,-8.284007,1
-28.617231,14.945891,0
37.371716,0.6672318,1
-12.607547,-15.980179,1
12.251394,20.075222,1
10.972994,-2.1636086,1
-18.566345,-18.869469,1
-32.091682,-9.744516,0
-32.11745,-3.6621556,0
13.398281,-7.366207,1
-15.634184,13.444215,0
-2.747191,-8.012426,1
-2.1536741,16.23564,0
16.039907,-16.729002,1
-9.360908,3.9462566,0
32.378677,-13.97213,1
-9.525785,17.60417,0
13.545829,19.62943,1
-3.8499837,-16.515429,1
-5.3340807,5.1329603,0
-7.572544,2.765582,0
-16.730612,-21.53943,1
11.533412,10.903575,0
3.9431736,12.735811,1
-5.2636147,30.887873,1
29.261013,7.168385,1
23.057528,3.4001608,1
21.551483,-15.795561,1
-36.841663,4.485644,0
-27.990274,-8.596911,0
-21.807434,2.4671116,0
-23.187168,15.00119,0
-16.010967,-13.411294,0
14.823593,-0.6514793,0
-3.1376297,28.610458,0
-4.831517,-23.30542,1
14.5273285,5.3189297,0
-9.241384,14.110154,0
-29.806501,4.43137,0
5.5145674,6.233752,0
22.783169,-4.3592496,1
43.56029,0.6807122,1
-23.482792,6.10774,0
36.099228,-11.104202,1
4.335646,17.750967,1
28.045591,-15.008023,0
-31.135418,-19.341661,0
27.300215,13.0271635,1
2.677178,1.7665188,0
-4.713478,-2.5016255,0
30.649864,-13.978148,1
17.265118,16.570786,1
33.225426,-5.040945,1
2.5438428,-8.000439,0
36.11441,-16.056416,0
41.017384,-0.5370374,1
-41.88951,-11.765102,0
-35.325123,-16.863983,0
33.637062,1.3033209,1
-22.98555,1.4278622,1
23.569765,9.427215,1
-21.273151,14.189132,0
-2.454522,31.076632,1
30.576267,-15.98775,1
-18.833578,20.733805,0
-10.602944,24.1281,0
-9.57306,19.84383,0
37.063843,-12.669974,1
-18.097872,-14.483167,0
34.171658,4.9958987,1
-22.956184,7.690521,0
29.468561,-11.022905,1
0.94117105,25.91806,0
37.369675,-0.61316293,1
-23.398844,22.032198,0
39.893345,-9.789765,1
-33.33107,-15.84015,1
6.151284,-3.995544,1
22.091673,-20.53925,1
27.730598,-15.485656,1
6.3378367,19.449259,1
-31.312654,-21.544474,0
-38.98319,-16.394114,1
-12.892974,-19.078867,1
22.094086,-10.487198,1
39.58709,-3.270649,1
20.316813,10.898373,1
-3.816409,-5.70837,0
-4.2961216,4.958502,0
15.534085,19.46448,0
-29.482407,-7.270839,0
-8.444371,-14.641959,1
-7.6516204,0.41784036,0
-13.3977165,13.498835,1
-34.366787,-6.7196417,0
-17.39061,-2.666792,0
25.63719,14.5873375,1
7.8659105,-6.675245,1
-19.493395,25.599972,0
8.925153,-1.549872,1
-8.401791,2.3273969,0
17.667253,-7.292955,1
-2.074392,7.144926,0
-5.0568466,16.298918,0
17.557966,14.696569,1
37.13577,9.468125,1
-37.660545,0.19643345,0
15.234376,7.783229,1
25.420149,-21.401258,1
9.561326,-8.30588,1
7.2631636,-17.93626,1
-16.906134,0.023927147,0
36.02112,8.057721,1
-4.6708126,30.568499,0
-8.79248,13.974274,0
15.383619,22.012253,1
-4.222621,12.728154,0
25.400732,5.470803,1
31.610043,-22.799831,1
23.377882,19.23611,1
14.543946,24.150738,1
-6.6805906,-0.68905944,0
5.1240034,-3.2393575,1
-7.7568016,16.585197,0
27.760847,-21.054031,1
9.801485,-3.596531,1
38.40619,-7.0067196,1
-28.106234,0.14935976,0
16.057041,20.8866,0
25.694422,-1.8483468,1
20.846659,15.515733,1
-7.278624,2.1825554,0
-14.753043,-4.7014728,0
-36.37209,-16.512753,0
40.33286,-7.2109447,1
26.735285,14.811052,1
-31.577677,-4.7221966,0
-12.293438,25.236074,0
5.126917,-7.0160303,1
11.159379,-7.6746874,1
10.718726,21.20519,1
34.888996,2.486058,0
18.13096,-15.4755945,1
25.614677,-17.053898,1
-31.715034,6.7429385,0
-6.6122837,16.637161,0
-42.032696,-15.273694,0
5.749535,18.952301,1
-21.642797,25.087809,0
5.2688675,-18.313938,0
29.987104,-2.5287266,1
-32.76644,-16.93104,0
-15.490389,-20.25054,1
15.588697,14.101744,1
-5.826511,-11.389872,0
14.358372,-15.879414,1
-2.9851,-21.644812,1
0.47497883,31.503666,1
-5.825181,1.1038443,0
-15.887558,-22.422472,0
-7.9846325,10.783148,0
-30.794647,-11.966291,1
-31.841852,-6.8365965,0
26.974457,-0.72227144,1
-14.340271,-22.392126,1
34.47913,-9.560532,1
-16.628025,-13.916266,0
30.976051,-20.285276,1
26.815231,-20.562313,1
28.688313,2.8492732,1
26.133467,-7.0029616,1
-16.095243,-19.03627,1
-3.4206402,-16.950006,1
1.650648,27.041609,0
27.016321,-26.362864,1
15.586891,-11.788348,1
-11.446231,-16.671871,1
34.4791,-15.091819,1
-3.5694532,7.7407804,0
24.081879,4.945752,1
-10.799843,-0.70104796,0
5.341975,-16.153065,1
-13.48626,24.222586,0
40.690853,-8.392257,1
27.104113,7.03159,1
